datetime,PRECTOTCORR_z,discharge_cfs_z
01-01-2003,-0.394674618,1.26528768
02-01-2003,-0.427561356,1.485854589
03-01-2003,-0.458099042,1.394400017
04-01-2003,-0.458099042,0.791875777
05-01-2003,-0.453400936,0.173212494
06-01-2003,-0.458099042,0.039796413
07-01-2003,-0.458099042,-0.036057085
08-01-2003,-0.458099042,-0.08232234
09-01-2003,-0.333599247,-0.109758711
10-01-2003,-0.357089775,-0.112448552
11-01-2003,-0.458099042,-0.129125562
12-01-2003,-0.458099042,-0.157099902
13-01-2003,-0.458099042,-0.180232529
14-01-2003,-0.458099042,-0.19368173
15-01-2003,-0.456924515,-0.202827188
16-01-2003,-0.401721776,-0.210896709
17-01-2003,-0.458099042,-0.217352326
18-01-2003,-0.458099042,-0.224883879
19-01-2003,-0.458099042,-0.229725591
20-01-2003,-0.453400936,-0.234567304
21-01-2003,-0.433433988,-0.236181208
22-01-2003,-0.43930662,-0.23564324
23-01-2003,-0.458099042,-0.241022921
24-01-2003,-0.458099042,-0.250168378
25-01-2003,-0.458099042,-0.256086027
26-01-2003,-0.454575463,-0.258775867
27-01-2003,-0.458099042,-0.260389771
28-01-2003,-0.266651245,-0.262541644
29-01-2003,2.663792032,-0.251782282
30-01-2003,-0.085774185,1.04472077
31-01-2003,-0.448702831,1.480474908
01-02-2003,-0.458099042,1.259907999
02-02-2003,-0.45222641,0.716560247
03-02-2003,-0.247858823,0.173212494
04-02-2003,-0.421688725,-0.001089161
05-02-2003,0.143258456,-0.074790787
06-02-2003,2.677886349,0.087137603
07-02-2003,-0.429910409,0.770357054
08-02-2003,-0.347693564,0.937127156
09-02-2003,0.641257634,0.73807897
10-02-2003,-0.405245355,0.485233976
11-02-2003,-0.458099042,0.399159084
12-02-2003,-0.458099042,0.334602916
13-02-2003,-0.446353778,0.108656326
14-02-2003,-0.286618193,-0.008620714
15-02-2003,2.049514744,-0.049506287
16-02-2003,0.892606276,1.276047041
17-02-2003,-0.45222641,2.01844298
18-02-2003,-0.458099042,2.147555317
19-02-2003,-0.408768935,1.222250234
20-02-2003,1.490440195,0.571308867
21-02-2003,4.528517068,2.3197051
22-02-2003,1.360067769,3.941356055
23-02-2003,-0.458099042,3.941356055
24-02-2003,-0.391151039,3.941356055
25-02-2003,-0.220844716,3.941356055
26-02-2003,1.670142729,2.249769251
27-02-2003,-0.372358617,1.555790438
28-02-2003,-0.434608515,1.469715547
01-03-2003,-0.419339672,1.335223529
02-03-2003,-0.447528305,0.8133945
03-03-2003,-0.278396508,0.485233976
04-03-2003,-0.354740722,0.334602916
05-03-2003,0.958379753,0.248528024
06-03-2003,0.712903743,0.296945151
07-03-2003,0.472125838,0.673522801
08-03-2003,-0.429910409,0.867191307
09-03-2003,-0.305410615,0.399159084
10-03-2003,-0.458099042,0.194731217
11-03-2003,-0.433433988,0.092517284
12-03-2003,0.079834033,0.024733307
13-03-2003,2.3772076,0.001062712
14-03-2003,-0.091646816,0.366881
15-03-2003,-0.432259462,1.249148638
16-03-2003,0.243093197,1.26528768
17-03-2003,0.252489408,0.74345865
18-03-2003,-0.130406186,0.479854295
19-03-2003,0.233696986,0.926367795
20-03-2003,-0.455749989,1.157694065
21-03-2003,-0.458099042,0.824153861
22-03-2003,-0.458099042,0.275426428
23-03-2003,-0.458099042,0.043024221
24-03-2003,-0.458099042,-0.036057085
25-03-2003,-0.454575463,-0.086088116
26-03-2003,-0.280745561,-0.121056041
27-03-2003,-0.447528305,-0.142574764
28-03-2003,-0.427561356,-0.158713806
29-03-2003,-0.128057134,-0.175390816
30-03-2003,-0.407594408,-0.19099189
31-03-2003,-0.458099042,-0.20497906
01-04-2003,-0.458099042,-0.219504198
02-04-2003,-0.456924515,-0.229725591
03-04-2003,-0.446353778,-0.23833308
04-04-2003,-0.408768935,-0.242098857
05-04-2003,-0.03879313,-0.245326665
06-04-2003,4.528517068,-0.245864633
07-04-2003,2.501707394,1.060859813
08-04-2003,1.990788426,2.405779991
09-04-2003,-0.436957567,3.941356055
