datetime,PRECTOTCORR,discharge_cfs
01-01-2003,0.54,3210
02-01-2003,0.26,3620
03-01-2003,0,3450
04-01-2003,0,2330
05-01-2003,0.04,1180
06-01-2003,0,932
07-01-2003,0,791
08-01-2003,0,705
09-01-2003,1.06,654
10-01-2003,0.86,649
11-01-2003,0,618
12-01-2003,0,566
13-01-2003,0,523
14-01-2003,0,498
15-01-2003,0.01,481
16-01-2003,0.48,466
17-01-2003,0,454
18-01-2003,0,440
19-01-2003,0,431
20-01-2003,0.04,422
21-01-2003,0.21,419
22-01-2003,0.16,420
23-01-2003,0,410
24-01-2003,0,393
25-01-2003,0,382
26-01-2003,0.03,377
27-01-2003,0,374
28-01-2003,1.63,370
29-01-2003,26.58,390
30-01-2003,3.17,2800
31-01-2003,0.08,3610
01-02-2003,0,3200
02-02-2003,0.05,2190
03-02-2003,1.79,1180
04-02-2003,0.31,856
05-02-2003,5.12,719
06-02-2003,26.7,1020
07-02-2003,0.24,2290
08-02-2003,0.94,2600
09-02-2003,9.36,2230
10-02-2003,0.45,1760
11-02-2003,0,1600
12-02-2003,0,1480
13-02-2003,0.1,1060
14-02-2003,1.46,842
15-02-2003,21.35,766
16-02-2003,11.5,3230
17-02-2003,0.05,4610
18-02-2003,0,4850
19-02-2003,0.42,3130
20-02-2003,16.59,1920
21-02-2003,61.69,5170
22-02-2003,15.48,13500
23-02-2003,0,23900
24-02-2003,0.57,29300
25-02-2003,2.02,17700
26-02-2003,18.12,5040
27-02-2003,0.73,3750
28-02-2003,0.2,3590
01-03-2003,0.33,3340
02-03-2003,0.09,2370
03-03-2003,1.53,1760
04-03-2003,0.88,1480
05-03-2003,12.06,1320
06-03-2003,9.97,1410
07-03-2003,7.92,2110
08-03-2003,0.24,2470
09-03-2003,1.3,1600
10-03-2003,0,1220
11-03-2003,0.21,1030
12-03-2003,4.58,904
13-03-2003,24.14,860
14-03-2003,3.12,1540
15-03-2003,0.22,3180
16-03-2003,5.97,3210
17-03-2003,6.05,2240
18-03-2003,2.79,1750
19-03-2003,5.89,2580
20-03-2003,0.02,3010
21-03-2003,0,2390
22-03-2003,0,1370
23-03-2003,0,938
24-03-2003,0,791
25-03-2003,0.03,698
26-03-2003,1.51,633
27-03-2003,0.09,593
28-03-2003,0.26,563
29-03-2003,2.81,532
30-03-2003,0.43,503
31-03-2003,0,477
01-04-2003,0,450
02-04-2003,0.01,431
03-04-2003,0.1,415
04-04-2003,0.42,408
05-04-2003,3.57,402
06-04-2003,49.01,401
07-04-2003,25.2,2830
08-04-2003,20.85,5330
09-04-2003,0.18,9400
10-04-2003,0.03,7860
11-04-2003,0.03,2380
12-04-2003,0.02,1440
13-04-2003,0,897
14-04-2003,0.05,722
15-04-2003,0,622
16-04-2003,0.01,552
17-04-2003,0.01,506
18-04-2003,0,463
19-04-2003,0.02,429
20-04-2003,0.07,403
21-04-2003,0.24,384
22-04-2003,0.01,367
23-04-2003,0.02,342
24-04-2003,44.2,439
25-04-2003,14.81,779
26-04-2003,0.01,2130
27-04-2003,0,2470
28-04-2003,0.02,1400
29-04-2003,0.01,613
30-04-2003,0.06,463
01-05-2003,0.22,394
02-05-2003,4.54,354
03-05-2003,4.58,328
04-05-2003,0.32,308
05-05-2003,0.05,303
06-05-2003,0.87,292
07-05-2003,4.91,272
08-05-2003,0.18,263
09-05-2003,0.03,255
10-05-2003,0.91,244
11-05-2003,3.75,235
12-05-2003,0,230
13-05-2003,0.67,223
14-05-2003,12.19,220
15-05-2003,4.67,1590
16-05-2003,2.42,592
17-05-2003,18.72,460
18-05-2003,6.59,635
19-05-2003,7.28,550
20-05-2003,13.19,617
21-05-2003,11.51,1050
22-05-2003,0.3,701
23-05-2003,0,603
24-05-2003,0.04,414
25-05-2003,8.4,331
