datetime,PRECTOTCORR,discharge_cfs,PRECTOTCORR_z,discharge_cfs_z
01-01-2003,0.54,3210,-0.394674618,1.26528768
02-01-2003,0.26,3620,-0.427561356,1.485854589
03-01-2003,0,3450,-0.458099042,1.394400017
04-01-2003,0,2330,-0.458099042,0.791875777
05-01-2003,0.04,1180,-0.453400936,0.173212494
06-01-2003,0,932,-0.458099042,0.039796413
07-01-2003,0,791,-0.458099042,-0.036057085
08-01-2003,0,705,-0.458099042,-0.08232234
09-01-2003,1.06,654,-0.333599247,-0.109758711
10-01-2003,0.86,649,-0.357089775,-0.112448552
11-01-2003,0,618,-0.458099042,-0.129125562
12-01-2003,0,566,-0.458099042,-0.157099902
13-01-2003,0,523,-0.458099042,-0.180232529
14-01-2003,0,498,-0.458099042,-0.19368173
15-01-2003,0.01,481,-0.456924515,-0.202827188
16-01-2003,0.48,466,-0.401721776,-0.210896709
17-01-2003,0,454,-0.458099042,-0.217352326
18-01-2003,0,440,-0.458099042,-0.224883879
19-01-2003,0,431,-0.458099042,-0.229725591
20-01-2003,0.04,422,-0.453400936,-0.234567304
21-01-2003,0.21,419,-0.433433988,-0.236181208
22-01-2003,0.16,420,-0.43930662,-0.23564324
23-01-2003,0,410,-0.458099042,-0.241022921
24-01-2003,0,393,-0.458099042,-0.250168378
25-01-2003,0,382,-0.458099042,-0.256086027
26-01-2003,0.03,377,-0.454575463,-0.258775867
27-01-2003,0,374,-0.458099042,-0.260389771
28-01-2003,1.63,370,-0.266651245,-0.262541644
29-01-2003,26.58,390,2.663792032,-0.251782282
30-01-2003,3.17,2800,-0.085774185,1.04472077
31-01-2003,0.08,3610,-0.448702831,1.480474908
01-02-2003,0,3200,-0.458099042,1.259907999
02-02-2003,0.05,2190,-0.45222641,0.716560247
03-02-2003,1.79,1180,-0.247858823,0.173212494
04-02-2003,0.31,856,-0.421688725,-0.001089161
05-02-2003,5.12,719,0.143258456,-0.074790787
06-02-2003,26.7,1020,2.677886349,0.087137603
07-02-2003,0.24,2290,-0.429910409,0.770357054
08-02-2003,0.94,2600,-0.347693564,0.937127156
09-02-2003,9.36,2230,0.641257634,0.73807897
10-02-2003,0.45,1760,-0.405245355,0.485233976
11-02-2003,0,1600,-0.458099042,0.399159084
12-02-2003,0,1480,-0.458099042,0.334602916
13-02-2003,0.1,1060,-0.446353778,0.108656326
14-02-2003,1.46,842,-0.286618193,-0.008620714
15-02-2003,21.35,766,2.049514744,-0.049506287
16-02-2003,11.5,3230,0.892606276,1.276047041
17-02-2003,0.05,4610,-0.45222641,2.01844298
18-02-2003,0,4850,-0.458099042,2.147555317
19-02-2003,0.42,3130,-0.408768935,1.222250234
20-02-2003,16.59,1920,1.490440195,0.571308867
21-02-2003,61.69,5170,6.787554095,2.3197051
22-02-2003,15.48,13500,1.360067769,6.800979136
23-02-2003,0,23900,-0.458099042,12.39584708
24-02-2003,0.57,29300,-0.391151039,15.30087467
25-02-2003,2.02,17700,-0.220844716,9.060445037
26-02-2003,18.12,5040,1.670142729,2.249769251
27-02-2003,0.73,3750,-0.372358617,1.555790438
28-02-2003,0.2,3590,-0.434608515,1.469715547
01-03-2003,0.33,3340,-0.419339672,1.335223529
02-03-2003,0.09,2370,-0.447528305,0.8133945
03-03-2003,1.53,1760,-0.278396508,0.485233976
04-03-2003,0.88,1480,-0.354740722,0.334602916
05-03-2003,12.06,1320,0.958379753,0.248528024
06-03-2003,9.97,1410,0.712903743,0.296945151
07-03-2003,7.92,2110,0.472125838,0.673522801
08-03-2003,0.24,2470,-0.429910409,0.867191307
09-03-2003,1.3,1600,-0.305410615,0.399159084
10-03-2003,0,1220,-0.458099042,0.194731217
11-03-2003,0.21,1030,-0.433433988,0.092517284
12-03-2003,4.58,904,0.079834033,0.024733307
13-03-2003,24.14,860,2.3772076,0.001062712
14-03-2003,3.12,1540,-0.091646816,0.366881
15-03-2003,0.22,3180,-0.432259462,1.249148638
16-03-2003,5.97,3210,0.243093197,1.26528768
17-03-2003,6.05,2240,0.252489408,0.74345865
18-03-2003,2.79,1750,-0.130406186,0.479854295
19-03-2003,5.89,2580,0.233696986,0.926367795
20-03-2003,0.02,3010,-0.455749989,1.157694065
21-03-2003,0,2390,-0.458099042,0.824153861
22-03-2003,0,1370,-0.458099042,0.275426428
23-03-2003,0,938,-0.458099042,0.043024221
24-03-2003,0,791,-0.458099042,-0.036057085
25-03-2003,0.03,698,-0.454575463,-0.086088116
26-03-2003,1.51,633,-0.280745561,-0.121056041
27-03-2003,0.09,593,-0.447528305,-0.142574764
28-03-2003,0.26,563,-0.427561356,-0.158713806
29-03-2003,2.81,532,-0.128057134,-0.175390816
30-03-2003,0.43,503,-0.407594408,-0.19099189
31-03-2003,0,477,-0.458099042,-0.20497906
01-04-2003,0,450,-0.458099042,-0.219504198
02-04-2003,0.01,431,-0.456924515,-0.229725591
03-04-2003,0.1,415,-0.446353778,-0.23833308
04-04-2003,0.42,408,-0.408768935,-0.242098857
05-04-2003,3.57,402,-0.03879313,-0.245326665
06-04-2003,49.01,401,5.298254666,-0.245864633
07-04-2003,25.2,2830,2.501707394,1.060859813
08-04-2003,20.85,5330,1.990788426,2.405779991
09-04-2003,0.18,9400,-0.436957567,4.595310043
10-04-2003,0.03,7860,-0.454575463,3.766839212
11-04-2003,0.03,2380,-0.454575463,0.81877418
12-04-2003,0.02,1440,-0.455749989,0.313084193
13-04-2003,0,897,-0.458099042,0.02096753
14-04-2003,0.05,722,-0.45222641,-0.073176882
15-04-2003,0,622,-0.458099042,-0.12697369
16-04-2003,0.01,552,-0.456924515,-0.164631455
17-04-2003,0.01,506,-0.456924515,-0.189377986
18-04-2003,0,463,-0.458099042,-0.212510613
19-04-2003,0.02,429,-0.455749989,-0.230801527
20-04-2003,0.07,403,-0.449877357,-0.244788697
21-04-2003,0.24,384,-0.429910409,-0.255010091
22-04-2003,0.01,367,-0.456924515,-0.264155548
23-04-2003,0.02,342,-0.455749989,-0.27760475
24-04-2003,44.2,439,4.733307485,-0.225421847
25-04-2003,14.81,779,1.281374503,-0.042512702
26-04-2003,0.01,2130,-0.456924515,0.684282162
27-04-2003,0,2470,-0.458099042,0.867191307
28-04-2003,0.02,1400,-0.455749989,0.29156547
29-04-2003,0.01,613,-0.456924515,-0.131815402
30-04-2003,0.06,463,-0.451051884,-0.212510613
01-05-2003,0.22,394,-0.432259462,-0.24963041
